Device_Category,Title,Price,Condition,Item_URL
iPod Classic,Apple iPod classic 6th Gen Silver (160 GB) Works Great (MB145LL/A Model A1238),160.0,Used,https://www.ebay.com/itm/267561295110?_skw=iPod+Classic+160GB&hash=item3e4be55d06:g:d0MAAeSwV~5pe7Dq
iPod Classic,Apple iPod Classic A1238 160GB Black Music Player - Tested and Working,129.95,Used,https://www.ebay.com/itm/157711263956?_skw=iPod+Classic+160GB&hash=item24b852e8d4:g:TRcAAeSwn4NpknIb
iPod Classic,"Apple iPod Classic 5th 6th 7th Generation (128GB ,256GB, 512GB,1TB,2TB) Modded",299.95,Very Good - Refurbished,https://www.ebay.com/itm/176471616412?_skw=iPod+Classic+160GB&hash=item2916872b9c:g:KWQAAOSwSgpdWrDc
iPod Classic,Apple iPod Classic 7th Generation 160GB Silver A1238 MC297LL/A MP3 Player TESTED,168.95,Used,https://www.ebay.com/itm/376981736771?_skw=iPod+Classic+160GB&hash=item57c5dccd43:g:pckAAeSwobZpmkXL
iPod Classic,Apple IPOD CLASSIC 7th Generation 160GB (MC297ll/a) MP3  - MINT Condition,324.95,Excellent - Refurbished,https://www.ebay.com/itm/176795219623?_skw=iPod+Classic+160GB&hash=item2929d0f6a7:g:qV4AAOSwUURnirwc&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZmrLBD57s2sfEdkdJFmeNqAtjSiSHabYYnxxfqAe%2FMFpUEdPVU4PsAVO1aSjvKpXLhzKUI13iG7b95FkR9rlgnzfAJcAE42qnHIOogPg9sROXmIwImZQE386%2FVCAcNyTqsWTYB4DQmfqpAqw6eWMBzCfBzxAocPDdrmo%2FERK7ZkHd4qFzDl5X5fcQexSI8SihC%2Fk5a8c9krzWKpN3FD0JAQ6ByDQQd4sNA7QqB76sFsiDM5GkCfLd%2BmleGB4fR7nXgM%2BGgBKWEOrsHcDYFCNPZ2DjVBA9Ro3rngvAif5w3Aw%3D%3D
iPod Classic,Apple iPod Classic (A1238) 160GB - Silver,148.74,Used,https://www.ebay.com/itm/267583162057?_skw=iPod+Classic+160GB&hash=item3e4d3306c9:g:vFQAAeSwGvNpdiMG&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGYuDMHBm0ludchLngC1YnlTrc5jTfTxs5nwOgzLF1KfW1WJ0tV9EyY%2FtFAA1OAT2Ccui1IQX%2BKGnZNGnW8rmw8xAb0f%2FAYP4wu4vlIU9YnQV3xXLQBGyr%2BTdCFieUgqJzwCwoft2h3C1ecwltGV9N0KlPT0M5gSrcoxH0kL2Apg50XCRPLFgAhNOWKqJz07g0BHzZiAg1V72PZLRdGQrufq%2BAfDtZfbIVHpr%2FjbxK8QqzoUavb1gSPTRaItSesBHaxPKbJrihH1mUfwnOpELVc0VGOQK%2BOrqBIFC3U5v%2BpyMQ%3D%3D
iPod Classic,🍎🍎NEW Apple iPod Classic 7th Generation 160GB Gray MP3 Player - Sealed Box,312.0,New,https://www.ebay.com/itm/397477733897?_skw=iPod+Classic+160GB&hash=item5c8b84e609:g:Bz0AAeSwqHdpYGdP&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbaSeuRiZIC9sRd6u0IbeB3DEylHxEaPr%2F5HO791QxZk9MCQ7JzWrdQNXTOAoX9FeGqgoMy6mtO3ynWNUy2tNr8DMF5Jc8qQI3%2FhvaZBM8pjGv62IgAvYnrstv588XJ%2FscGGDEJNS6HqhZtFdZGU8pS5ta3DtC0Av%2F6r6lxRfzmcKYO0En9lgfkzbIlgvQBfRfu7hN2p4%2FtVEtNUnpDDNoWAYxotFnH2BwS4QN2NzR9AnC%2Fuu2ZdyKa51cObnpHiqWvRKH1%2FxQaT5zZuPSb7rwXQtj9IV6nm40FXVzVtCaFaA%3D%3D
iPod Classic,Apple IPOD CLASSIC 7th Generation 160GB (MC297ll/a) MP3  - MINT Condition,324.95,Excellent - Refurbished,https://www.ebay.com/itm/177665182643?_skw=iPod+Classic+160GB&hash=item295dab8bb3:g:5rcAAeSwhAZpOhk9&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbJk0OjU%2BVxh5G5xU2dEaRtV0hIGCl%2FJgWZanas56%2BgHHGCCdH%2FQ%2B255SRmqDN5HgxEX5%2Bzr4J5D6JeKtHSneUxfJcQVZA8gURhB17y9LBx5beRSeamlAva33I7abgxmS%2BczK5ij0IpOxhpC9Tx%2FTwfUEus%2FpkZUqSBR8fHQuNZIDXuqY7EzmSUMUqgQRcQZcx6ksRbJUS9EV1iB9%2F6FC4boun1P7mRO0YAxXGbx8qWoAmCi%2FaumJXO%2B8vVVLMWrxXtnBAR62t7yyZkasSgi8DDnsZ8s0U%2Fo2PzVszdRKKSAg%3D%3D
iPod Classic,iPod Classic Black Click Wheel Flex Apple 6th 7th Gen 80gb 120gb 160gb New,13.99,New,https://www.ebay.com/itm/133289494311?_skw=iPod+Classic+160GB&hash=item1f08ac4727:g:KwUAAeSwrcVpe58t
iPod Classic,"Apple iPod classic 7th Generation Black (160 GB) 20,825 Rock And Country Music",200.0,Used,https://www.ebay.com/itm/188109816209?_skw=iPod+Classic+160GB&hash=item2bcc380191:g:EbUAAeSw5YZpH2iN
